"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\home\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\home\display\Main.tsx", "TypeScript JSX", 0, 205, 0, 47, 17, 269
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\home\index.tsx", "TypeScript JSX", 0, 26, 0, 0, 9, 35
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\home\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalGallery\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalGallery\display\Main.tsx", "TypeScript JSX", 0, 27, 0, 0, 2, 29
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalGallery\index.tsx", "TypeScript JSX", 0, 30, 0, 0, 6, 36
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalGallery\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSoon\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSoon\display\Main.tsx", "TypeScript JSX", 0, 25, 0, 0, 1, 26
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSoon\index.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSoon\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSuccess\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSuccess\display\Main.tsx", "TypeScript JSX", 0, 25, 0, 0, 1, 26
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSuccess\index.tsx", "TypeScript JSX", 0, 30, 0, 0, 6, 36
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\modalSuccess\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
